REGION,MARKET,DEV_MANAGER,SITEID,SITE_NAME,FOPS_ASSIGNEE,SITE_CLASS,MAGENTABUILT_STATUS,OA_DATE,POWER_METER,BREAKER_SIZE,GEN_PLUG,ACCESS_DETAILS,SITE_SECURITY_ISSUES,PORTABLE_GENERATOR_CAPABLE,PORTABLE_GEN_PLUG,PORTABLE_GEN_CORD_LENGTH,PORTABLE_GEN_ACCESS_NOTES,FACILITY_COMBO,OTHER_COMBO,POWER_COMBO,TELCO_AAV_COMBO,TELCO_GATE_COMBO,SITE_24X7,POWER_24X7,TELCO_24X7,OTHER_24X7,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,SITE_NOTES,SITE_DIRECTIONS,FACILITY_ACCESS_NOTES,FACILITY_NOTIFICATION_REQUIRED,FACILITY_NOTIFICATION_PERIOD,POWER_ACCESS_NOTES,POWER_NOTIFICATION_REQUIRED,POWER_NOTIFICATION_PERIOD,TELCO_DEMARC_LOCATION,TELCO_AAV_NID_LOCATION,TMO_NID_LOCATION,TELCO_ACCESS_NOTES,TELCO_NOTIFICATION_REQUIRED,TELCO_NOTIFICATION_PERIOD,OTHER_ACCESS_NOTES,OTHER_NOTIFICATION_REQUIRED,OTHER_NOTIFICATION_PERIOD,EME_SIGNAGE_VISIT_REQUIRED,EME_AUDIT_LAST_PERFORMED
NORTHEAST,NORTH CAROLINA,Tonya Sykes-McClure,5AS1307A,Crown 804617,David Jochetz (DJochet),Monopole,ON-AIR,2026-03-18,79981394,200.0,,"CCI Site BU # 804617
262 Childers Ln, Nebo, NC in Google Maps will get you to the site.
From Asheville :
- Take I-40 East to exit 90 toward Nebo/Lake James
-Turn Right onto Harmony Grove Rd.
-In 3.2 miles turn right onto NC-126 E
-In .6 miles turn left onto Childers Ln.
-Follow dirt/gravel road approx .3 miles and stay to the left of the house to the compound.

Leave downtown Asheville and get onto I-240 E / US-70 E (Billy Graham Freeway) toward I-26 / downtown.

Follow signs and merge onto I-26 E toward Hendersonville / Spartanburg. Stay on I-26 E for the bulk of the trip (this is the fast interstate portion).

Continue on I-26 E out of Asheville into the mountains (you’ll pass Hendersonville area and then continue east / northeast).

Take the exit toward US-70 / Marion / Old Fort (follow signs for US-70 / Marion).

(Depending on exact exit signage this may be labeled as US-70 or as a local exit toward Marion — your GPS will show the correct exit number.)

Merge onto US-70 E and follow US-70 into the Marion / Nebo area. Stay on US-70 (it will bend and curve) as it heads northeast around Lake James toward Nebo.

As you approach Nebo, look for local turns: turn onto Childers Lane (a small local road) — 262 Childers Ln will be along that road. (If there’s any ambiguity, use the address in your phone map app and it will place you on Childers Ln near Nebo.)",,Yes,Cam Lock,25.0,No,7011 / 8727 / 5050,,"Crown=7011, T-Mobile=8727",,"Crown=7011, T-Mobile=8727",Yes,Yes,Yes,Yes,,,,,,,,,"262 Childers Ln, Nebo, NC in Google Maps will get you to the site.
From Asheville :
- Take I-40 East to exit 90 toward Nebo/Lake James
-Turn Right onto Harmony Grove Rd.
-In 3.2 miles turn right onto NC-126 E
-In .6 miles turn left onto Childers Ln.
-Follow dirt/gravel road approx .3 miles and stay to the left of the house to the compound.",,,,,,,,,,,,,,,,No,
CENTRAL,ARKANSAS,Branch - Morgan,AR01670A,Harmoni ARLIT2109,,Self Support Tower,ON-AIR,2026-03-18,,200.0,,2017,,Yes,Cam Lock,50.0,No,,,,,,No,,,,,,,,,,,,From Kansas City MO switch: Head to I-70 E. Merge onto I-70 E toward St Louis. Stay on I-70 E. Take exit 1-435 S toward I-49 S (Topeka). Stay on I-435 S. Merge onto I-49 S/US-71 S toward Joplin. Continue on I-49 S. Merge onto I-40 E toward Little Rock. Stay on I-40 E. Take exit 81A for AR-7 S toward Russellville. Continue on AR-7 S. Turn left onto Maple Springs Rd. Follow Maple Springs Rd to your destination.,,,,,,,,,,,,,,,,No,
SOUTH,ORLANDO,,A2E0137M,Vistana Midcell,John Camilleri (JCamill1),Unipole/ Micropole,ON-AIR,2026-03-18,8366418,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
CENTRAL,MILWAUKEE,Denise Vestuto,ML89064A,ML89064A,Bradley Sweet (BSweet1),Monopole,ON-AIR,2026-03-18,2810011428,200.0,1.0,Gate 0007 cabinet 0007,,Yes,Cam Lock,50.0,No,0007,,0007,,0007,Yes,Yes,Yes,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Milwaukee
Wisconsin


Get on I-794 from E Wells St and N 6th St
5 min (1.0 mi)


Follow I-94 W to WI-60 Trunk W in Arlington. Take exit 119 from I-94 W
1 hr 16 min (88.6 mi)


Continue on WI-60 Trunk W. Drive to Prospect Ave in Lodi
8 min (5.2 mi)
296 Prospect Ave
Lodi, WI 53555",,,,,,,ON T-MOBILE PLATFORM,,,,,,,,,No,
SOUTH,BIRMINGHAM,Kristi Anderson,9BH7293B,9BH7293B,Brandon Reed (BReed32),Guyed Tower,ON-AIR,2026-03-17,,,,"Check in with the SBA Sites Connect app on your mobile device.
Most of the gate combos should be 4722. If not, the contractor will need to reach out to the RSM. Refer to the NTP for site specific notes.",,,,,,,,,,,No,,,,,,,,,,,,"Head toward Inverness Center Pkwy. Go for 213 ft.
Then 0.04 mi
Turn left onto Inverness Center Pkwy. Go for 0.3 mi.
Then 0.3 mi
Turn left onto Highway 280 (US-280 W). Go for 6.5 mi.
Then 6.5 mi
Take ramp onto US-31 N/US-280 W (Elton B Stephens Expy). Go for 2.8 mi.
Then 2.8 mi
Take the exit onto I-20 W/I-59 S. Go for 1.8 mi.
Then 1.8 mi
Take exit 124C toward Huntsville onto I-65 N. Go for 106 mi.
Then 106.1 mi
Continue on I-65 N. Go for 13.8 mi.
Then 13.8 mi
Take exit 14 toward US-64/Pulaski/Fayetteville. Go for 0.3 mi.
Then 0.3 mi
Turn right onto Highway 64 (US-64). Go for 8.9 mi.
Then 8.9 mi
Make a U-Turn at Barnes Hollow Rd onto Pulaski Hwy (US-64 W). Go for 0.2 mi.
Then 0.2 mi
4 Boonshill-Petersburg Rd

Petersburg, Tennessee 37144-7730",,,,,,,,,,,,,,,,,
NORTHEAST,WASHINGTON DC,,DC7407BA,Small Cell Hub,,Monopole,ON-AIR,2026-03-17,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
SOUTH,PUERTO RICO,Alexi Pena,PR01870A,Ensenada- Guanica,Israel Perez (IPerez16),Self Support Tower,ON-AIR,2026-03-17,,125.0,,Acceso candado 2290,Security Escort Required,Yes,Appleton,50.0,No,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHEAST,LONG ISLAND - NY,,LI3099BA,LI13029B_LI3099BA,,In-Building BTS,ON-AIR,2026-03-17,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
CENTRAL,MINNEAPOLIS MN,,A1N0320A,Horvath HV1399,Dennis Peterson (DPeters),Self Support Tower,ON-AIR,2026-03-17,1N6041027124/ 720697,200.0,1.0,,,Yes,Cam Lock,50.0,No,1223/5596,,5596,,1223/5596,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,,,,,,,,,,,,,,,No,
CENTRAL,NASHVILLE,TEK: Nicole MacDonald / Smartlink: Leticia Zayas,9NV4461A,ATC 414910,Carlos Roa (CRoa),Self Support Tower,ON-AIR,2026-03-17,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
CENTRAL,LOUISVILLE,,9LV4102A,Vertical Bridge - Leitchfield,P.J. Martin (PMartin142),Self Support Tower,ON-AIR,2026-03-17,102038603,200.0,1.0,"TMO Lock: 4570
Vertical Bridge: 1280/0951

*********************
Lease Access Details
*********************
Vertical Bridge Sites:
This is a Vertical Bridge (VB) site, and you need to check in and out with them by calling 877-589-6411 or email aton.noc@spx.com. VB site reference number is US-KY-5257. Please verify all codes/combos and special instructions to get access.  If issue, call NOC to verify info or open ticket. Get NTP from VB if needing tower climb. 

Vertical Bridge Regional Operations Manager:
Name: Dirk Sears
Phone: (317) 702-7994
Email: dirk.sears@verticalbridge.com

24/7 Combo: 1280

*************************
Additional Access Details
*************************",,Yes,Cam Lock,50.0,Yes,1280,1280,4570/1280/0951,,4570/1280/0951,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Directions from T-Mobile Office:

3800 Ezell Rd, Nashville, TN 37211

Leave at 2:53 PM

Head south on Ezell Rd toward Syfert Ln

0.2 mi

Turn left onto Haywood Ln

Shell on the corner

0.3 mi

Take the ramp on the right for I-24 West and head toward Nashville

5.4 mi

At Exit 52B, head right on the ramp for I-40 East toward Knoxville

1.8 mi

At Exit 215B, head right on the ramp for TN-155 North toward Briley Pky

6.2 mi

Road name changes to TN-155 W

2.8 mi

At Exit 15, head right on the ramp for I-65 North toward Louisville

31.9 mi

Keep straight to stay on I-65 N

Entering Kentucky

29.8 mi

At Exit 30, head right on the ramp for US-68 / KY-3145 North toward Bowling Green

3.7 mi

Turn right onto US-31W N / Louisville Rd

5.3 mi

Turn left onto KY-101 / S Chalybeate Rd

4.1 mi

Keep straight to get onto Veterans Memorial Hwy

2.0 mi

Keep straight to get onto KY-259 / Veterans Memorial Hwy

21.2 mi

Turn left to stay on KY-259 / Anneta Rd

Hunt Brothers Pizza on the corner

7.1 mi

At the roundabout, take the 2nd exit

0.8 mi

Turn left onto KY-737 / Lilac Rd

3.2 mi

Turn right onto King Rd

1.8 mi

Turn right onto Hanging Rock Rd

0.1 mi

Turn left onto Hanging Rock Church Rd

Unpaved Road

0.1 mi

Arrive at Hanging Rock Church Rd on the right

The last intersection before your destination is Hanging Rock Rd

B

Hanging Rock Church Rd, Leitchfield, KY 42754",,,,,,,,,,,,,,,,No,
CENTRAL,NASHVILLE,,NA1005BA,SC_HUB_9NV0847A,Hank Mathes (WMathes),Roof Top Mount,ON-AIR,2026-03-16,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
CENTRAL,ARKANSAS,Gregg Staggs,AR01760A,Lake Ouachita,Jon Betts (JBetts),Self Support Tower,ON-AIR,2026-03-16,,200.0,,4722,,Yes,Cam Lock,75.0,Yes,,,,,,Yes,,,,,,,,,,,,"From Kansas City MO switch: Head to I-70 W. Merge onto I-70 W via the ramp to Topeka. Stay on I-70 W for a while and take exit 2B to merge onto I-49 S toward Joplin. Continue south on I-49. Take the exit for US-71 S toward Arkansas. Stay on US-71 S and continue until you reach the exit for AR-270 W toward Hot Springs. Follow AR-270 W and then take the exit for AR-27 N toward Mount Ida. Stay on AR-27 N, and then turn onto Broken Rock Mountain Rd. Your destination will be on the right at 292 Broken Rock Mountain Rd, Mt Ida, AR.",,,,,,,,,,,,,,,,No,
CENTRAL,DETROIT MI,Terah Larsen,GS02010A,Tillman TI-OPP-16219,Chris Witten (CWitten),Monopole,ON-AIR,2026-03-16,62563145,200.0,1.0,"LL is Tillman Infrastructure – POC Nicholas DeBrunner

Nick DeBrunner – ndebrunner@tillmaninfrastructure.com / P: 646-578-8619 / C: 313-580-1342

NSD Access Instructions: Gate Combo 1776 or 2321. Please make sure GC or agent notifies NOC upon arrival and departure. Please make sure all trash is picked up and gate is locked each time you enter and exit the compound. If you are going to climb the tower you will need to send Tillman a COI. Tillman NOC is 800-821-5825.",,Yes,Cam Lock,25.0,No,"1776, 2321",,"1776, 2321",,"1776, 2321",Yes,Yes,Yes,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Detroit
Michigan

Head toward W Jefferson Srv Rd

1 min (0.4 mi)


Follow M-10 N/John C. Lodge Fwy and I-96 W to Lansing Rd S in Windsor Township. Take exit 98 A from I-96 W
1 hr 20 min (92.5 mi)


Continue on Lansing Rd S. Take E Vermontville Hwy to E State Rd in Castleton Township
35 min (27.5 mi)
7103 E State Rd
Nashville, MI 49073",,,,,,,SSC CABINET,,,,,,,,,No,
NORTHEAST,NORTH CAROLINA,Byron Scyzgial,5GK0913A,ATC 275179,Matt Purvis (MPurvis),Self Support Tower,ON-AIR,2026-03-16,,,,"This is an ATC site, and you need to check in and out with them by calling 877-518-6937 Opt. 6, 1. They will provide all codes/combos and special instructions to get access. If you have any access/maintenance issues, contact ATC NOC, and open a ticket with them and get ticket number or get local contact and then open an MB ticket and provide ATC ticket number or local contact. Take pictures of issue and upload when you create MB ticket. Get NTP or schedule from ATC if needing tower climb. If needed open a Landlord Issue - Consent Denial ticket to have RSD assist with NTP.",,,,,,This is an ATC site.  Please call the (NOC) at 877-518-6937. They will provide access codes/combos.,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
SOUTH,MEMPHIS,Kristi Anderson,9ME7413A,9ME7413,William Akins (WAkins3),Guyed Tower,ON-AIR,2026-03-16,145690867,,,"American Tower
Site ID: 206831
Gate Code 6275 (AL), 2005 (MS), 1760 (TN), 2055 (LA)
GNOC: Please dial (877) 518-6937 , then choose option 2 to connect to the GNOC
(or 6 if it is a lighting issue).",,,,,,2055,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Head toward Inverness Center Pkwy. Go for 213 ft.
Then 0.04 mi
Turn left onto Inverness Center Pkwy. Go for 0.3 mi.
Then 0.3 mi
Turn left onto Highway 280 (US-280 W). Go for 6.5 mi.
Then 6.5 mi
Take ramp onto US-31 N/US-280 W (Elton B Stephens Expy). Go for 2.8 mi.
Then 2.8 mi
Take the exit onto I-20 W/I-59 S. Go for 1.8 mi.
Then 1.8 mi
Take exit 124C toward Huntsville onto I-65 N. Go for 3.6 mi.
Then 3.6 mi
Take exit 265A toward Memphis onto I-22 W. Go for 96.8 mi.
Then 96.8 mi
Continue on I-22 W. Go for 31.1 mi.
Then 31.1 mi
Take exit 86B toward Corinth onto US-45 N (Martin Luther King Jr Dr). Go for 1.3 mi.
Then 1.3 mi
Take the exit toward Barnes Crossing Rd. Go for 0.3 mi.
Then 0.3 mi
Turn left onto Barnes Crossing Rd. Go for 0.5 mi.
Then 0.5 mi
Turn right onto N Gloster St (MS-145). Go for 0.2 mi.
Then 0.2 mi
Continue on Highway 145 (MS-145). Go for 0.7 mi.
Then 0.7 mi
Continue on MS-145. Go for 0.6 mi.
Then 0.6 mi
Continue on Highway 145 (MS-145). Go for 0.4 mi.
Then 0.4 mi
Turn left onto Birmingham Ridge Rd. Go for 1.7 mi.
Then 1.7 mi
Turn left onto County Road 681 (CR-681). Go for 85 ft.
Then 0.02 mi
850 County Road 681

Saltillo, Mississippi 38866-7934",,,24/7 365,,,,,,,,,,,,,,
CENTRAL,NASHVILLE,,NA1004BA,SC_HUB_9NV0847A,Hank Mathes (WMathes),Roof Top Mount,ON-AIR,2026-03-16,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
SOUTH,MIAMI FL,Brandon M. Costa,6NC1114A,US-FL-5470   Titan Lane,Freddy Almonte (FALMONTE),Monopole,ON-AIR,2026-03-16,ACD3671,200.0,,,Security Escort Required,,,,,,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,,,,,,,,,,,,,,,,,,
NORTHEAST,NORTH CAROLINA,Tonya Sykes-McClure,5FA0972A,Crown 842412,Roger Hilburn (DHilbur),Self Support Tower,ON-AIR,2026-03-16,1NF367916260JF225,200.0,,8727 gate combo,,Yes,Delta Quick Connect,50.0,No,7011/8727,,Combo 7011/8727,,Combo 7011/8727,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"9208 NC 130 HWY W
MAXTON, NC
28364

34.64110000 -079.34270000
",,,,,,,,,,,,,,,,No,
CENTRAL,ST. LOUIS,Pier Ballesteros,MO12438A,TI-OPP-12346,Chris Link (CLink1),Self Support Tower,ON-AIR,2026-03-16,,200.0,,Tillman Gate Combo: 1776. Tillman uses the following for all of their sites : 1776 or 2321. Tillman 24x7 NOC#: 800-821-5825.,,Yes,Cam Lock,25.0,No,,,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"To reach County Rd DD-366, Ellsinore, MO 63937 from 2004 Westport Center Dr, St. Louis, MO 63146, start by taking Westport Center Dr to State Hwy D/Page Ave, which is a 0.4-mile, 2-minute drive. From there, take I-55 S and US-67 S for 131 miles, traveling about 2 hours. Use the left 2 lanes to turn left onto State Hwy D/Page Ave, continuing for 1.7 miles. Afterward, continue onto MO-364 W/Page Ave for 318 feet. Take exit 20A to merge onto I-270 S toward Memphis, traveling 16.3 miles. Use the right 3 lanes to take exit 1A and merge onto I-55 S toward Memphis, continuing for 22.4 miles. Take exit 174B to merge onto US-67 S and travel for 90.6 miles. Then, follow State Hwy A, MO-49 N, and State Hwy A to County Rd DD-366 in Johnson Township. Turn right onto State Hwy A and drive for 9.8 miles. Next, turn right onto MO-49 N/N Main St, continuing for 5.6 miles. Continue straight onto State Hwy A for 6.9 miles, then onto Pine St for 0.2 miles. Turn left onto County Rd DD-366, and your destination will be on the right after 1.2 miles.",,1.0,2 weeks,,,,,,,,,,,,,No,
CENTRAL,CHICAGO,TEK: Westley Webber / Smartlink: Leticia Zayas,CH99159A,ATC 371125,Gary Butler (GButler9),Self Support Tower,ON-AIR,2026-03-16,171591697,200.0,1.0,Gate 2055  cabinet 0007,,Yes,Cam Lock,100.0,No,2055,2055,2055,,2055,Yes,Yes,Yes,Yes,00:01-23:59,00:01-23:59,00:01-23:59,00:01-23:59,00:01-23:59,00:01-23:59,00:01-23:59,,"Downers Grove, IL
Leave from Ogden Ave/US-34 W
2.4 mi, about 6 min
Turn left onto Interstate Highway 355 S/I-355 S toward Joliet
about 0.3 mi, less than 1 min
Take the I-355 S freeway
about 0.5 mi, less than 1 min
Keep straight on at Interstate Highway 355 S/I-355 S
about 0.4 mi, less than 1 min
Follow Interstate Highway 355 S/I-355 S toward Boughton Rd
3.6 mi, about 4 min
Keep right at Interstate Highway 355 S/I-355 S toward Boughton Rd
2 mi, about 2 min
Take exit 12A on the right onto Interstate Highway 55 S/I-55 S toward Saint Louis
0.3 mi, about 1 min
Keep right at Interstate Highway 55 S/I-55 S toward St. Louis
0.9 mi, about 2 min
Take the I-55 S freeway
about 0.1 mi, less than 1 min
Follow Interstate Highway 55 S/I-55 S
24 mi, about 22 min
Keep left at Interstate Highway 55 S/I-55 S
about 0.4 mi, less than 1 min
Follow Interstate Highway 55 S/I-55 S toward Saint Louis
86.8 mi, about 1 hr 12 min
Keep right at Interstate Highway 55 S/I-55 S toward Saint Louis
about 0.4 mi, less than 1 min
Follow Interstate Highway 55 S/I-55 S toward Petersburg
47.4 mi, about 39 min
Take exit 109 on the right onto County Highway 2/County Hwy-2A/County Hwy-2 toward Petersburg
about 0.3 mi, less than 1 min
Turn right onto County Highway 2/County Hwy-2A/County Hwy-2 toward Petersburg
about 0.1 mi, less than 1 min
Follow County Highway 2/County Hwy-2A/County Hwy-2
6.4 mi, about 7 min
Turn right onto W State Route 29/IL-29
1.5 mi, about 2 min
Turn left onto E Hargrave St
0.8 mi, about 2 min
Turn left onto S Main St/County Hwy-14
0.3 mi, about 1 min
Turn right onto W Little St/County Hwy-14
about 0.1 mi, less than 1 min
Turn left onto S Athens Black Top/County Hwy-14
0.7 mi, about 1 min
Turn right onto Gudgel Ave/County Hwy-4
about 0.2 mi, less than 1 min
Follow Gudgel Ave/County Hwy-4
2.9 mi, about 4 min
Turn left onto Price St
2 mi, about 4 min
Turn right onto Foggy Bottom Ave
about 0.4 mi, less than 1 min
Turn left onto Boy Scout Trl
1 mi, about 2 min
Turn right onto Old Farm Ave
0.7 mi, about 1 min
Turn left onto Knoles Rd
about 0.3 mi, less than 1 min
You have arrived at State Route 97/IL-97. Your destination is on the left",,1.0,,,1.0,,H-Frame,Ciena on Handrail H-Frame,,,1.0,,,1.0,,No,
WEST,LA NORTH,Keisha Robinson,SV80390A,SN45XC112-NUEVO ENERGY OFFICE,Bradley Pierce (BPierce4),Tower Other,ON-AIR,2026-03-16,,,,"Sprint will have 24/7access with no limitations or restrictions. 
Common Gate: 3155

SBA Lease Area Gate: 4722

TMO Puck Locks: 2149",,,,,,,,,,,Yes,Yes,Yes,Yes,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"Get on I-10 W from E Guasti Rd. Continue on I-10 W.Take I-210 W/Foothill Fwy, CA-134 E and US-101 N to Calle Real in Santa Barbara. Take exit 101B from US-101 N. Get on US-101 N from CA-154 W/San Marcos Pass Rd. Follow US-101 N to E Clark Ave. Take exit 164 from US-101 N. Follow E Clark Ave to Broadway St in Orcutt.",,,,,,,,,,,,,,,,No,
CENTRAL,PITTSBURGH PA,,A4E1810A,TowerNorth Development - #PA1005-A/Commodore,,Self Support Tower,ON-AIR,2026-03-16,005 120 596,,,"PLEASE READ: Contact Matthew Hamilton via email mhamilton@towernorth.com 48 hours in advance
Gate Combo 2014.  At all times throughout the Term of this Agreement, and at no additional charge to Licensee,
Licensee will have pedestrian and vehicular access (“Access”) to and over the Property; such access to be solely via the route specified in Exhibit B; provided, however, that during the initial construction or final removal of the Communications Facility, or for additional construction which necessitates heavy machinery, such access shall be as reasonably granted by Licensor. Out of respect for the surrounding residential area, Licensee agrees to use its best efforts: (i) to schedule all work on the tower on weekdays between the hours of 8:00am and 6:00pm and (ii) to keep noise and traffic to a minimum. All access shall be from the entrance specified by the Licensor and along the route specified by the Licensor in Exhibit B, for ordinary, maintenance and operation of the Communications Facility and any utilities serving the Licensed Premises. In each case Access is subject to Licensor’s reasonable security measures and policies. Except in the event of an emergency, for any out of ordinary work or site improvement, Licensee shall provide reasonable advance notice (but no less than 24 hours) before entering the Property. Licensor must
approve any access outside of the hours set forth in this Section 10, except in the case of an emergency.",,,,,,Gate Combo 2014,2014,,,,Yes,,,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,"DRIVING DIRECTIONS FROM INDIAN COUNTY-STEWART AIRPORT (IDI AT
398 AIRPORT RD, INDIANA, PA 15701
1. HEAD SOUTH 46 FT
2. TURN RIGHT TOWARD WOODSY WY 187 FT
3. TURN RIGHT AT THE 1ST CROSS STREET ONTO WOODSY WY 233 FT
4. TURN RIGHT ONTO AIRPORT RD 4.8 MI
5. SHARP RIGHT ONTO PA-286 E
6. TURN RIGHT ONTO MUSSER ST 0.3 MI
DESTINATION WILL BE ON THE LEFT
TOTAL TRAVEL ESTIMATE: 13.2 MI, 20 MINS",,,,,,,,,,,,,,,,No,
SOUTH,JACKSONVILLE,Michelle Perez,9SA1930A,Ohoopee River,Hubert Anderson (HAnders8),Self Support Tower,ON-AIR,2026-03-16,421015341,200.0,1.0,No site access details noted.,,Yes,Cam Lock,20.0,,ATC - 2370/1760  TMO 1225/8662/8353,,,,,Yes,Yes,Yes,,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,,Take I-95 S and get off on exit 90 onto SR 144 ramp Turn Right onto SR 144 in 19.96 mi Turn Right on to SR 119 (SR144) in .73 mi keep left on to SR 144 in 18.79 mi go straight on to SR 23 (SR57/SR144/Barnard St.) in .59 mi keep left on to SR 144 (Hencart Rd) in 6.03 mi Keep left on to SR 121 (SR144/SR 169) in 1.03 mi keep right on to SR 178 in 2.78 mi the tower will be on your left,,,,,,,,,,,,,,,,No,
CENTRAL,WEST VIRGINIA,TMO:  Andrea McCoy / Smartlink:  Shawn Sutton,WVJ0332A,Edmond,Larry Cook (LCook35),Monopole,ON-AIR,2026-03-16,998165338,,,,,,,,,7011,,,,,Yes,,,,,,,,,,,,"From Summersville, WV take 19 South about 5 miles to the Second Stop light. Turn Right onto SR 129. Go about .2 miles and take Second Left onto CR 41/5. Travel about 1.15 miles. Access Rd. will be on your left. Access Rd. looks like driveway in between homes going through a farm gate. Access Gate: 38 11 30.8 / -80 52 58.9",,,,,,,,,,,,,,,,No,
CENTRAL,INDIANAPOLIS IN,TEK: Westley Webber / Smartlink: Leticia Zayas,MW15804A,ATC# 420907,,Self Support Tower,ON-AIR,2026-03-16,32038,200.0,,"*********************
Lease Access Details
*********************
ATC:
This is ATC site 420907, and you need to check in and out with them by calling 877-518-6937. Please verify all codes/combos and special instructions to get access. If issue, call NOC to verify info or open ticket. Get NTP or schedule from ATC if needing tower climb. 

*************************
Additional Access Details
*************************
2055",,Yes,Cam Lock,50.0,No,,,,,,Yes,,,,,,,,,,,,"From Indianapolis IN switch: Head to I-70 W. Merge onto I-70 W via the ramp to St. Louis and stay on I-70 W for about 25 miles. Take exit 59B to merge onto I-65 S toward Louisville. Stay on I-65 S for approximately 20 miles, then take exit 40B for US-231 S toward Jasper. Continue on US-231 S for about 30 miles, then turn left onto CR E 650 S. Your destination, 12284 CR E 650 S, Loogootee, IN, will be on the right side of the road.",,,,,,,,,,,,,,,,No,
